hidden_layers,activation,learning_rate,batch_size,epochs,val_accuracy,test_accuracy
"[128, 64]",relu,0.0001,64,150,0.42105263157894735,0.42753036437246966
"[512, 256, 128]",relu,0.0001,32,100,0.4190283400809717,0.45668016194331984
"[256, 128, 64]",tanh,0.0001,32,100,0.4190283400809717,0.4404858299595142
"[128, 128]",relu,0.001,64,50,0.41700404858299595,0.4404858299595142
"[256, 128, 64]",relu,0.0001,32,100,0.41700404858299595,0.45668016194331984
"[128, 64, 32]",tanh,0.001,64,50,0.41700404858299595,0.4502024291497976
"[128, 128]",relu,0.0001,64,150,0.4149797570850202,0.4178137651821862
"[128, 128]",relu,0.0001,32,150,0.4149797570850202,0.42672064777327934
"[256, 128]",relu,0.0001,64,100,0.41295546558704455,0.43562753036437246
"[256, 128]",tanh,0.0001,64,50,0.4089068825910931,0.42267206477732794
"[128, 64]",relu,0.0001,32,150,0.4068825910931174,0.4048582995951417
"[128, 128]",tanh,0.0001,32,100,0.4068825910931174,0.4234817813765182
"[128, 64, 32]",relu,0.001,64,50,0.4068825910931174,0.43562753036437246
"[128, 64, 32]",relu,0.001,32,50,0.4068825910931174,0.42591093117408907
"[128, 64, 32]",relu,0.0001,32,150,0.4068825910931174,0.42591093117408907
"[128, 64]",tanh,0.0001,64,150,0.4048582995951417,0.39595141700404857
"[256, 128]",relu,0.0001,64,150,0.402834008097166,0.4048582995951417
"[256, 128]",tanh,0.0001,32,150,0.402834008097166,0.42995951417004047
"[512, 256, 128]",relu,0.0001,32,50,0.402834008097166,0.3838056680161943
"[256, 128, 64]",relu,0.0001,64,100,0.4008097165991903,0.3862348178137652
"[128, 64, 32]",tanh,0.0001,32,100,0.4008097165991903,0.40161943319838056
"[128, 64, 32]",relu,0.0001,32,100,0.39878542510121456,0.4242914979757085
"[128, 128]",tanh,0.0001,64,150,0.39878542510121456,0.3854251012145749
"[128, 64]",tanh,0.0001,32,150,0.39878542510121456,0.41700404858299595
"[512, 256, 128]",tanh,0.0001,64,150,0.39473684210526316,0.4121457489878543
"[128, 64]",tanh,0.0001,32,100,0.39271255060728744,0.3951417004048583
"[64, 32]",relu,0.0001,64,150,0.39271255060728744,0.38704453441295544
"[256, 128, 64]",tanh,0.0001,32,50,0.39271255060728744,0.4
"[128, 64, 32]",tanh,0.0001,64,100,0.38866396761133604,0.34493927125506074
"[256, 128]",tanh,0.0001,32,50,0.38866396761133604,0.3967611336032389
"[256, 128]",relu,0.0001,32,150,0.3866396761133603,0.4242914979757085
"[64, 32]",relu,0.0001,32,150,0.3866396761133603,0.4064777327935223
"[256, 128]",tanh,0.0001,64,150,0.3866396761133603,0.3910931174089069
"[256, 128, 64]",tanh,0.0001,64,150,0.3866396761133603,0.4089068825910931
"[128, 64]",relu,0.0001,32,50,0.38461538461538464,0.40161943319838056
"[128, 128]",relu,0.0001,32,100,0.38461538461538464,0.3821862348178138
"[64, 32]",relu,0.0001,32,100,0.38461538461538464,0.40242914979757083
"[128, 64, 32]",relu,0.0001,32,50,0.3825910931174089,0.3603238866396761
"[64, 32]",tanh,0.0001,32,100,0.3825910931174089,0.3659919028340081
"[64, 32]",tanh,0.0001,32,150,0.3825910931174089,0.40242914979757083
"[64, 32]",tanh,0.0001,32,50,0.3825910931174089,0.40161943319838056
"[128, 64, 32]",tanh,0.0001,64,150,0.3785425101214575,0.37894736842105264
"[128, 128]",tanh,0.0001,32,50,0.3765182186234818,0.3700404858299595
"[64, 32]",tanh,0.0001,64,100,0.3765182186234818,0.34898785425101214
"[128, 64, 32]",relu,0.0001,64,50,0.37449392712550605,0.35789473684210527
"[256, 128]",relu,0.0001,32,50,0.3724696356275304,0.3757085020242915
"[256, 128]",relu,0.0001,64,50,0.3724696356275304,0.35384615384615387
"[128, 64, 32]",relu,0.0001,64,150,0.3724696356275304,0.37165991902834006
"[512, 256, 128]",tanh,0.0001,32,50,0.37044534412955465,0.4048582995951417
"[64, 32]",relu,0.0001,32,50,0.37044534412955465,0.345748987854251
"[128, 128]",relu,0.0001,64,50,0.37044534412955465,0.3708502024291498
"[128, 128]",tanh,0.0001,64,100,0.37044534412955465,0.38461538461538464
"[128, 64]",relu,0.0001,32,100,0.3684210526315789,0.4105263157894737
"[512, 256, 128]",tanh,0.0001,64,50,0.3684210526315789,0.3821862348178138
"[256, 128, 64]",relu,0.0001,64,150,0.36639676113360325,0.4153846153846154
"[128, 128]",relu,0.0001,32,50,0.36639676113360325,0.3805668016194332
"[128, 64, 32]",tanh,0.0001,64,50,0.36639676113360325,0.3643724696356275
"[256, 128, 64]",tanh,0.0001,64,100,0.3643724696356275,0.36923076923076925
"[128, 64]",relu,0.0001,64,100,0.3603238866396761,0.38866396761133604
"[64, 32]",relu,0.0001,64,100,0.3603238866396761,0.362753036437247
"[256, 128]",tanh,0.0001,64,100,0.3603238866396761,0.4080971659919028
"[128, 128]",relu,0.0001,64,100,0.3582995951417004,0.3287449392712551
"[512, 256, 128]",relu,0.0001,64,50,0.3582995951417004,0.35303643724696354
"[64, 32]",tanh,0.0001,64,150,0.3562753036437247,0.351417004048583
"[128, 64]",tanh,0.0001,32,50,0.354251012145749,0.33522267206477735
"[256, 128, 64]",tanh,0.0001,64,50,0.3481781376518219,0.35060728744939273
"[128, 64, 32]",tanh,0.0001,32,50,0.340080971659919,0.3740890688259109
"[64, 32]",relu,0.0001,64,50,0.3360323886639676,0.34331983805668015
"[256, 128, 64]",relu,0.0001,32,50,0.3299595141700405,0.3408906882591093
"[128, 128]",tanh,0.0001,64,50,0.32186234817813764,0.35870445344129553
"[128, 64]",tanh,0.0001,64,100,0.3157894736842105,0.31902834008097164
"[128, 64]",relu,0.0001,64,50,0.3097165991902834,0.3303643724696356
"[64, 32]",tanh,0.0001,64,50,0.30364372469635625,0.3117408906882591
"[128, 64]",tanh,0.0001,64,50,0.3016194331983806,0.3157894736842105
"[256, 128, 64]",relu,0.0001,64,50,0.2894736842105263,0.3327935222672065
"[128, 64, 32]",relu,0.0001,64,100,0.27125506072874495,0.291497975708502
